,DTA_S15 Data,DTA_S16 Data,DTA_S17A Data,DTA_S17B Data,KW_S15 Data,KW_S16 Data,KW_S17A Data,KW_S17B Data,TILN_S15 Data,TILN_S16 Data,TILN_S17A Data,TILN_S17B Data,PLHT_S15 Data,PLHT_S16 Data,PLHT_S17A Data,PLHT_S17B Data
W22 x TIL14 BC1S4# Line_A047,NA,72,82,NA,NA,0.17782,0.16714,NA,NA,0.25,1,NA,NA,NA,162.75,NA
W22 x TIL14 BC1S4# Line_A048,NA,72,81,NA,NA,0.23468,0.20876,NA,NA,1.375,2.25,NA,NA,NA,157.75,NA
W22 x TIL14 BC1S4# Line_A049,NA,73,86,NA,NA,0.1688,0.17844,NA,NA,1.625,1.5,NA,NA,NA,184.5,NA
W22 x TIL14 BC1S4# Line_A050,NA,78,91,NA,NA,0.15886,0.09658,NA,NA,0.75,2,NA,NA,NA,172.25,NA
W22 x TIL14 BC1S4# Line_A051,NA,81,90,NA,NA,0.14032,0.09792,NA,NA,0.875,1.125,NA,NA,NA,163.75,NA
W22 x TIL14 BC1S4# Line_A052,NA,78,92,NA,NA,0.14002,0.1568,NA,NA,0.75,2.5,NA,NA,NA,157.875,NA
W22 x TIL14 BC1S4# Line_A053,NA,72,79,NA,NA,0.2345,0.22226,NA,NA,0,1,NA,NA,NA,158.125,NA
W22 x TIL14 BC1S4# Line_A054,NA,72,81,NA,NA,0.2578,0.0908,NA,NA,1,1,NA,NA,NA,139,NA
W22 x TIL14 BC1S4# Line_A055,NA,66,78,NA,NA,0.22596,0.21796,NA,NA,0.25,1.875,NA,NA,NA,131.875,NA
W22 x TIL14 BC1S4# Line_A056,NA,74,NA,NA,NA,0.163514286,NA,NA,NA,1.625,NA,NA,NA,NA,NA,NA
W22 x TIL14 BC1S4# Line_A057,NA,71,81,NA,NA,0.13872,0.151888889,NA,NA,0,1.625,NA,NA,NA,155,NA
W22 x TIL14 BC1S4# Line_A058,NA,71,81,NA,NA,0.26618,0.17886,NA,NA,1.375,2,NA,NA,NA,162,NA
W22 x TIL14 BC1S4# Line_A059,NA,71,83,NA,NA,0.18912,0.17204,NA,NA,1,1.5,NA,NA,NA,167.625,NA
W22 x TIL14 BC1S4# Line_A060,NA,77,90,NA,NA,0.15324,0.12692,NA,NA,0.625,1.625,NA,NA,NA,153.5,NA
W22 x TIL14 BC1S4# Line_A061,NA,76,90,NA,NA,0.17658,0.13024,NA,NA,1.5,2.5,NA,NA,NA,144.125,NA
W22 x TIL14 BC1S4# Line_A062,NA,85,NA,NA,NA,0.101848485,NA,NA,NA,0,1,NA,NA,NA,89.33333333,NA
W22 x TIL14 BC1S4# Line_A063,NA,78,91,NA,NA,0.16008,0.12052,NA,NA,1.125,1,NA,NA,NA,170.625,NA
W22 x TIL14 BC1S4# Line_A064,NA,75,87,NA,NA,0.1818,0.17842,NA,NA,1.125,1.75,NA,NA,NA,153.375,NA
W22 x TIL14 BC1S4# Line_A065,NA,68,81,NA,NA,0.21302,0.14854,NA,NA,1.375,2.375,NA,NA,NA,161.375,NA
W22 x TIL14 BC1S4# Line_A067,NA,76,86,NA,NA,0.16016,0.18516,NA,NA,1.125,2,NA,NA,NA,148.5,NA
W22 x TIL14 BC1S4# Line_A068,NA,72,83,NA,NA,0.18122,0.1599,NA,NA,1.75,2.375,NA,NA,NA,173.75,NA
W22 x TIL14 BC1S4# Line_A069,NA,83,99,NA,NA,NA,0.134520833,NA,NA,1.625,3,NA,NA,NA,170.375,NA
W22 x TIL14 BC1S4# Line_A070,NA,74,87,NA,NA,0.25208,0.21306,NA,NA,1.125,1.625,NA,NA,NA,160.375,NA
W22 x TIL14 BC1S4# Line_A071,NA,71,82,NA,NA,0.18096,0.14834,NA,NA,0,1,NA,NA,NA,140.125,NA
W22 x TIL14 BC1S4# Line_A072,NA,76,85,NA,NA,0.1795,0.1612,NA,NA,0.625,1.25,NA,NA,NA,178.375,NA
W22 x TIL14 BC1S4# Line_A073,NA,72,82,NA,NA,0.1887,0.19444,NA,NA,0,1,NA,NA,NA,128.5,NA
W22 x TIL14 BC1S4# Line_A074,NA,67,80,NA,NA,0.19358,0.184183673,NA,NA,0.625,1.625,NA,NA,NA,130.2,NA
W22 x TIL14 BC1S4# Line_A075,NA,69,82,NA,NA,0.17674,0.16576,NA,NA,0.875,2.625,NA,NA,NA,148,NA
W22 x TIL14 BC1S4# Line_A076,NA,80,95,NA,NA,0.130285714,0.07208,NA,NA,0.625,2.75,NA,NA,NA,151.25,NA
W22 x TIL14 BC1S4# Line_A078,NA,69,82,NA,NA,0.18506,0.16722,NA,NA,0.875,1.75,NA,NA,NA,171.125,NA
W22 x TIL14 BC1S4# Line_A079,NA,69,81,NA,NA,0.22462,0.21844,NA,NA,1.25,2,NA,NA,NA,165.375,NA
W22 x TIL14 BC1S4# Line_A080,NA,76,88,NA,NA,0.1796,0.15616,NA,NA,0.625,1.25,NA,NA,NA,158.375,NA
W22 x TIL14 BC1S4# Line_A081,NA,76,87,NA,NA,0.141575,0.14638,NA,NA,2,3.5,NA,NA,NA,149.25,NA
W22 x TIL14 BC1S4# Line_A082,NA,72,85,NA,NA,0.16,0.1239,NA,NA,1.125,1.625,NA,NA,NA,128.625,NA
W22 x TIL14 BC1S4# Line_A083,NA,72,85,NA,NA,0.13324,0.1376,NA,NA,0.75,2,NA,NA,NA,149.75,NA
W22 x TIL14 BC1S4# Line_A084,NA,79,90,NA,NA,0.2211,0.13326,NA,NA,0,1,NA,NA,NA,140,NA
W22 x TIL14 BC1S4# Line_A085,NA,74,86,NA,NA,0.18214,0.1298,NA,NA,0.375,1,NA,NA,NA,122.75,NA
W22 x TIL14 BC1S4# Line_A086,NA,69,81,NA,NA,0.21172,0.1905,NA,NA,1.625,2.5,NA,NA,NA,134.625,NA
W22 x TIL14 BC1S4# Line_A087,NA,81,96,NA,NA,0.19196,0.15264,NA,NA,1.5,2.375,NA,NA,NA,149.75,NA
W22 x TIL14 BC1S4# Line_A088,NA,79,94,NA,NA,0.15504,0.103857143,NA,NA,1.25,2.125,NA,NA,NA,180.75,NA
W22 x TIL14 BC1S4# Line_A089,NA,69,80,NA,NA,0.22096,0.2285,NA,NA,0.75,2.125,NA,NA,NA,160.5,NA
W22 x TIL14 BC1S4# Line_A090,NA,67,78,NA,NA,0.16854,0.15036,NA,NA,0.625,1.5,NA,NA,NA,143.2,NA
W22 x TIL14 BC1S4# Line_A091,NA,81,101,NA,NA,0.214,0.159157895,NA,NA,1.375,2.625,NA,NA,NA,141.375,NA
W22 x TIL14 BC1S4# Line_A092,NA,83,96,NA,NA,0.1175,0.16188,NA,NA,1.25,1.875,NA,NA,NA,157.625,NA
W22 x TIL14 BC1S4# Line_A093,NA,78,90,NA,NA,0.1945,0.21616,NA,NA,0.125,1.625,NA,NA,NA,142.25,NA
W22 x TIL14 BC1S4# Line_A094,NA,71,89,NA,NA,0.19618,0.14854,NA,NA,2.125,3,NA,NA,NA,150.125,NA
W22 x TIL14 BC1S4# Line_A095,NA,73,81,NA,NA,0.14828,0.16296,NA,NA,0.75,1.375,NA,NA,NA,138.625,NA
W22 x TIL14 BC1S4# Line_A096,NA,88,100,NA,NA,0.1246,0.1627,NA,NA,1.25,1.875,NA,NA,NA,128.375,NA
W22 x TIL14 BC1S4# Line_A097,NA,71,82,NA,NA,0.18048,0.17636,NA,NA,0,1,NA,NA,NA,163.625,NA
W22 x TIL14 BC1S4# Line_A098,NA,72,81,NA,NA,0.18424,0.1817,NA,NA,0.75,1.125,NA,NA,NA,148.125,NA
W22 x TIL14 BC1S4# Line_A099,NA,69,81,NA,NA,0.2013,0.18868,NA,NA,1.75,2.75,NA,NA,NA,156.6666667,NA
W22 x TIL14 BC1S4# Line_B001,NA,76,84,NA,NA,0.2051,0.19238,NA,NA,1.625,2.5,NA,NA,NA,143.125,NA
W22 x TIL14 BC1S4# Line_B002,NA,71,82,NA,NA,0.1489,0.13492,NA,NA,0.625,1,NA,NA,NA,153.25,NA
W22 x TIL14 BC1S4# Line_B003,NA,72,82,NA,NA,0.17708,0.1479,NA,NA,1.5,2.375,NA,NA,NA,136.5,NA
W22 x TIL14 BC1S4# Line_B004,NA,74,89,NA,NA,0.22058,0.17268,NA,NA,1.75,2.125,NA,NA,NA,160.875,NA
W22 x TIL14 BC1S4# Line_B006,NA,78,88,NA,NA,0.15008,0.1247,NA,NA,0.625,2.125,NA,NA,NA,139.125,NA
W22 x TIL14 BC1S4# Line_B007,NA,66,75,NA,NA,0.20026,0.21384,NA,NA,0.125,1.375,NA,NA,NA,136.5,NA
W22 x TIL14 BC1S4# Line_B009,NA,74,87,NA,NA,0.16664,0.1422,NA,NA,0.25,1,NA,NA,NA,166,NA
W22 x TIL14 BC1S4# Line_B010,NA,71,82,NA,NA,0.22216,0.18484,NA,NA,1.75,2,NA,NA,NA,154.75,NA
W22 x TIL14 BC1S4# Line_B011,NA,72,84,NA,NA,0.17846,0.168530612,NA,NA,1.125,1.125,NA,NA,NA,168,NA
W22 x TIL14 BC1S4# Line_B012,NA,69,80,NA,NA,0.19914,0.22636,NA,NA,0.5,2.125,NA,NA,NA,149.75,NA
W22 x TIL14 BC1S4# Line_B013,NA,77,90,NA,NA,0.17566,0.14894,NA,NA,0.125,1,NA,NA,NA,119,NA
W22 x TIL14 BC1S4# Line_B014,NA,68,78,NA,NA,0.22708,0.22014,NA,NA,0.25,1.125,NA,NA,NA,159.75,NA
W22 x TIL14 BC1S4# Line_B015,NA,76,86,NA,NA,0.10074,0.11955102,NA,NA,1.75,2.25,NA,NA,NA,118.875,NA
W22 x TIL14 BC1S4# Line_B016,NA,85,99,NA,NA,0.1563,0.14628,NA,NA,1.125,1.625,NA,NA,NA,136.375,NA
W22 x TIL14 BC1S4# Line_B017,NA,71,85,NA,NA,0.2058,0.15966,NA,NA,1.625,2.5,NA,NA,NA,153.375,NA
W22 x TIL14 BC1S4# Line_B018,NA,70,81,NA,NA,0.22296,0.23512,NA,NA,0,1,NA,NA,NA,152.5,NA
W22 x TIL14 BC1S4# Line_B019,NA,76,85,NA,NA,0.18682,0.15672,NA,NA,0.25,1.5,NA,NA,NA,153.25,NA
W22 x TIL14 BC1S4# Line_B020,NA,73,82,NA,NA,0.1396,0.1618,NA,NA,0.625,2.75,NA,NA,NA,151,NA
W22 x TIL14 BC1S4# Line_B021,NA,70,82,NA,NA,0.16278,0.13308,NA,NA,0.875,2.875,NA,NA,NA,172.375,NA
W22 x TIL14 BC1S4# Line_B022,NA,77,92,NA,NA,0.16362,0.13656,NA,NA,1.75,2.25,NA,NA,NA,152.5,NA
W22 x TIL14 BC1S4# Line_B023,NA,72,82,NA,NA,0.17408,0.13892,NA,NA,0.25,1,NA,NA,NA,155.625,NA
W22 x TIL14 BC1S4# Line_B024,NA,72,80,NA,NA,0.19494,0.1814,NA,NA,0.5,1.375,NA,NA,NA,166.375,NA
W22 x TIL14 BC1S4# Line_B025,NA,74,89,NA,NA,0.1466,0.1306,NA,NA,0.625,1.25,NA,NA,NA,146.625,NA
W22 x TIL14 BC1S4# Line_B026,NA,88,100,NA,NA,0.049,NA,NA,NA,2.25,3.5,NA,NA,NA,161.125,NA
W22 x TIL14 BC1S4# Line_B027,NA,72,81,NA,NA,0.18926,0.16114,NA,NA,0,1,NA,NA,NA,148.375,NA
