,DTA_S15 Data,DTA_S16 Data,DTA_S17A Data,DTA_S17B Data,KW_S15 Data,KW_S16 Data,KW_S17A Data,KW_S17B Data,TILN_S15 Data,TILN_S16 Data,TILN_S17A Data,TILN_S17B Data,PLHT_S15 Data,PLHT_S16 Data,PLHT_S17A Data,PLHT_S17B Data
W22 x TIL14 BC1S4# Line_C026,NA,79,90,NA,NA,0.14764,0.11558,NA,NA,0.125,1.375,NA,NA,NA,187.625,NA
W22 x TIL14 BC1S4# Line_C027,NA,68,78,NA,NA,0.19772,0.1938,NA,NA,0.625,1.25,NA,NA,NA,139.875,NA
W22 x TIL14 BC1S4# Line_C029,NA,81,95,NA,NA,0.14686,0.12716,NA,NA,1.875,2.875,NA,NA,NA,159,NA
W22 x TIL14 BC1S4# Line_C030,NA,73,86,NA,NA,0.1604,0.1563,NA,NA,0,1.625,NA,NA,NA,174,NA
W22 x TIL14 BC1S4# Line_C032,NA,77,84,NA,NA,0.19536,0.15204,NA,NA,1.375,3.5,NA,NA,NA,161.125,NA
W22 x TIL14 BC1S4# Line_C033,NA,75,92,NA,NA,0.1844,0.18822,NA,NA,1.125,2.375,NA,NA,NA,148.75,NA
W22 x TIL14 BC1S4# Line_C037,NA,75,86,NA,NA,0.2383,0.19624,NA,NA,1,2,NA,NA,NA,156.25,NA
W22 x TIL14 BC1S4# Line_C038,NA,69,80,NA,NA,0.1721,0.17036,NA,NA,0.875,2,NA,NA,NA,150.5,NA
W22 x TIL14 BC1S4# Line_C039,NA,74,87,NA,NA,0.14778,0.14822,NA,NA,0.375,1.75,NA,NA,NA,153,NA
W22 x TIL14 BC1S4# Line_C040,NA,67,80,NA,NA,0.21584,0.18906,NA,NA,0,1,NA,NA,NA,148.875,NA
W22 x TIL14 BC1S4# Line_C041,NA,77,90,NA,NA,0.14538,0.12364,NA,NA,1.5,1.125,NA,NA,NA,165.8333333,NA
W22 x TIL14 BC1S4# Line_C042,NA,77,82,NA,NA,0.1863,0.17616,NA,NA,1.625,2.125,NA,NA,NA,152.125,NA
W22 x TIL14 BC1S4# Line_C043,NA,74,82,NA,NA,0.21698,0.2059,NA,NA,0.75,1.5,NA,NA,NA,171.5,NA
W22 x TIL14 BC1S4# Line_C044,NA,72,83,NA,NA,0.11416,0.11102,NA,NA,2.5,2,NA,NA,NA,163.25,NA
W22 x TIL14 BC1S4# Line_C045,NA,68,79,NA,NA,0.19604,0.21174,NA,NA,0.5,1.125,NA,NA,NA,143.125,NA
W22 x TIL14 BC1S4# Line_C046,NA,85,101,NA,NA,0.20548,0.18544,NA,NA,1.125,1.75,NA,NA,NA,178.125,NA
W22 x TIL14 BC1S4# Line_C047,NA,73,86,NA,NA,0.21916,0.1834,NA,NA,1,1.625,NA,NA,NA,170.25,NA
W22 x TIL14 BC1S4# Line_C048,NA,69,81,NA,NA,0.192,0.164693878,NA,NA,0,1,NA,NA,NA,169.875,NA
W22 x TIL14 BC1S4# Line_C049,NA,71,81,NA,NA,0.1512,0.1423,NA,NA,1.625,2.5,NA,NA,NA,161.5,NA
W22 x TIL14 BC1S4# Line_C050,NA,73,82,NA,NA,0.19386,0.17446,NA,NA,1.875,3.125,NA,NA,NA,174.375,NA
W22 x TIL14 BC1S4# Line_C051,NA,69,80,NA,NA,0.19238,0.18646,NA,NA,0,1.125,NA,NA,NA,150.75,NA
W22 x TIL14 BC1S4# Line_C052,NA,71,82,NA,NA,0.23324,0.24902,NA,NA,1,2,NA,NA,NA,149.75,NA
W22 x TIL14 BC1S4# Line_C053,NA,71,81,NA,NA,0.22798,0.18502,NA,NA,0.875,1.75,NA,NA,NA,173.125,NA
W22 x TIL14 BC1S4# Line_C054,NA,68,80,NA,NA,0.19264,0.19386,NA,NA,1,1.375,NA,NA,NA,167.625,NA
W22 x TIL14 BC1S4# Line_C055,NA,71,80,NA,NA,0.23522,0.22042,NA,NA,0,1,NA,NA,NA,149.7142857,NA
W22 x TIL14 BC1S4# Line_C056,NA,71,81,NA,NA,0.18484,0.19092,NA,NA,0.125,1,NA,NA,NA,161.625,NA
W22 x TIL14 BC1S4# Line_C057,NA,79,90,NA,NA,0.2331,0.17522,NA,NA,0.875,1,NA,NA,NA,175.75,NA
W22 x TIL14 BC1S4# Line_C058,NA,71,83,NA,NA,0.1861,0.16958,NA,NA,0.625,2.125,NA,NA,NA,158.125,NA
W22 x TIL14 BC1S4# Line_C059,NA,76,87,NA,NA,0.21094,0.16556,NA,NA,0,1.125,NA,NA,NA,168,NA
W22 x TIL14 BC1S4# Line_C060,NA,77,85,NA,NA,0.20382,0.1812,NA,NA,0.875,1.625,NA,NA,NA,165.625,NA
W22 x TIL14 BC1S4# Line_C062,NA,70,79,NA,NA,0.16016,0.15176,NA,NA,0.125,1,NA,NA,NA,153,NA
W22 x TIL14 BC1S4# Line_C063,NA,70,81,NA,NA,0.21532,0.2029,NA,NA,0.125,1.5,NA,NA,NA,167.5,NA
W22 x TIL14 BC1S4# Line_C064,NA,71,83,NA,NA,0.1767,0.15708,NA,NA,1.75,3.625,NA,NA,NA,160.5,NA
W22 x TIL14 BC1S4# Line_C066,NA,68,80,NA,NA,0.24314,0.2579,NA,NA,0.125,1.125,NA,NA,NA,145.75,NA
W22 x TIL14 BC1S4# Line_C068,NA,79,91,NA,NA,0.23498,0.21784,NA,NA,0.25,1.625,NA,NA,NA,138.875,NA
W22 x TIL14 BC1S4# Line_C069,NA,71,85,NA,NA,0.20276,0.18996,NA,NA,1.25,2.5,NA,NA,NA,173.25,NA
W22 x TIL14 BC1S4# Line_C070,NA,70,81,NA,NA,0.1506,0.131,NA,NA,1.125,3.375,NA,NA,NA,163.8,NA
W22 x TIL14 BC1S4# Line_C071,NA,72,83,NA,NA,0.123367347,0.08098,NA,NA,0.875,3.125,NA,NA,NA,150.25,NA
W22 x TIL14 BC1S4# Line_C072,NA,67,80,NA,NA,0.24434,0.22954,NA,NA,1,1.375,NA,NA,NA,156.875,NA
W22 x TIL14 BC1S4# Line_C073,NA,75,86,NA,NA,0.17344,0.14974,NA,NA,0.75,1.125,NA,NA,NA,131.625,NA
W22 x TIL14 BC1S4# Line_C074,NA,69,81,NA,NA,0.19884,0.17326,NA,NA,0.5,1.25,NA,NA,NA,154.25,NA
W22 x TIL14 BC1S4# Line_C075,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.125,4,NA,NA,NA,141,NA
W22 x TIL14 BC1S4# Line_C076,NA,68,80,NA,NA,0.23044,0.22288,NA,NA,0.625,2,NA,NA,NA,156.875,NA
W22 x TIL14 BC1S4# Line_C077,NA,73,87,NA,NA,NA,NA,NA,NA,0.375,1.25,NA,NA,NA,113.7142857,NA
W22 x TIL14 BC1S4# Line_C078,NA,74,85,NA,NA,0.089545455,0.0749,NA,NA,2.25,4.5,NA,NA,NA,149.125,NA
W22 x TIL14 BC1S4# Line_C079,NA,75,87,NA,NA,0.2278,0.16636,NA,NA,0.625,1,NA,NA,NA,167.75,NA
W22 x TIL14 BC1S4# Line_C081,NA,70,81,NA,NA,0.24732,0.19986,NA,NA,1.125,2.125,NA,NA,NA,158.375,NA
W22 x TIL14 BC1S4# Line_C083,NA,73,85,NA,NA,0.17322,0.13346,NA,NA,2.125,3,NA,NA,NA,156.875,NA
W22 x TIL14 BC1S4# Line_C084,NA,77,89,NA,NA,0.175688889,0.1268,NA,NA,0.375,1.125,NA,NA,NA,133.875,NA
W22 x TIL14 BC1S4# Line_C085,NA,77,85,NA,NA,0.16976,0.16472,NA,NA,0.625,1,NA,NA,NA,178,NA
W22 x TIL14 BC1S4# Line_C086,NA,76,82,NA,NA,0.12266,0.15442,NA,NA,0,1,NA,NA,NA,128.625,NA
W22 x TIL14 BC1S4# Line_C087,NA,72,82,NA,NA,0.1453,0.1399,NA,NA,1.375,2.5,NA,NA,NA,141.5,NA
W22 x TIL14 BC1S4# Line_C088,NA,74,86,NA,NA,0.23762,0.19732,NA,NA,1.375,1.25,NA,NA,NA,145.875,NA
W22 x TIL14 BC1S4# Line_C089,NA,76,87,NA,NA,0.0959,0.102534884,NA,NA,1.125,2.5,NA,NA,NA,160.625,NA
W22 x TIL14 BC1S4# Line_C090,NA,73,83,NA,NA,0.20102,0.165,NA,NA,1.75,2.75,NA,NA,NA,172.5,NA
